measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Singapore,Both,55-59 years,Depressive disorders,Percent,2014,0.017046262,0.021290767,0.013952938
Prevalence,Singapore,Male,All ages,Depressive disorders,Number,2014,41512.80503,49387.55709,34751.01683
Prevalence,Singapore,Female,All ages,Depressive disorders,Number,2014,49350.8388,58049.21676,42875.79917
Prevalence,Singapore,Both,All ages,Depressive disorders,Number,2014,90863.64383,107303.0532,77656.91788
Prevalence,Singapore,Male,All ages,Depressive disorders,Percent,2014,0.015616717,0.01853967,0.013091305
Prevalence,Singapore,Female,All ages,Depressive disorders,Percent,2014,0.019994381,0.023509194,0.017390367
Prevalence,Singapore,Both,All ages,Depressive disorders,Percent,2014,0.017724387,0.020860126,0.015186391
Prevalence,Singapore,Male,5-14 years,Depressive disorders,Number,2014,1703.552271,2299.602327,1254.648851
Prevalence,Singapore,Female,5-14 years,Depressive disorders,Number,2014,2384.426271,3208.113847,1798.713194
Prevalence,Singapore,Both,5-14 years,Depressive disorders,Number,2014,4087.978542,5509.61047,3064.297678
Prevalence,Singapore,Male,5-14 years,Depressive disorders,Percent,2014,0.008886149,0.012486708,0.006443873
Prevalence,Singapore,Female,5-14 years,Depressive disorders,Percent,2014,0.013572259,0.018319791,0.009920657
Prevalence,Singapore,Both,5-14 years,Depressive disorders,Percent,2014,0.011126715,0.015305926,0.008115027
Prevalence,Singapore,Male,60+ years,Depressive disorders,Number,2014,5411.894757,6669.356018,4412.141148
Prevalence,Singapore,Female,60+ years,Depressive disorders,Number,2014,7417.287419,9118.767389,6187.52474
Prevalence,Singapore,Both,60+ years,Depressive disorders,Number,2014,12829.18218,15749.51333,10676.85851
Prevalence,Singapore,Male,60+ years,Depressive disorders,Percent,2014,0.014812728,0.018254482,0.012071421
Prevalence,Singapore,Female,60+ years,Depressive disorders,Percent,2014,0.018847758,0.023163566,0.015721116
Prevalence,Singapore,Both,60+ years,Depressive disorders,Percent,2014,0.016905168,0.020746589,0.014065256
Prevalence,Singapore,Male,<5 years,Anxiety disorders,Number,2014,238.2565957,567.4914405,80.98013916
Prevalence,Singapore,Female,<5 years,Anxiety disorders,Number,2014,267.9604123,617.7906682,99.99558744
Prevalence,Singapore,Both,<5 years,Anxiety disorders,Number,2014,506.2170081,1189.939811,181.7543989
Prevalence,Singapore,Male,<5 years,Anxiety disorders,Percent,2014,0.002771076,0.006505356,0.000934089
Prevalence,Singapore,Female,<5 years,Anxiety disorders,Percent,2014,0.003409049,0.00786825,0.00125687
Prevalence,Singapore,Both,<5 years,Anxiety disorders,Percent,2014,0.003075242,0.007385663,0.00108201
Prevalence,Singapore,Male,15-19 years,Anxiety disorders,Number,2014,3986.179588,6415.732689,2371.108868
Prevalence,Singapore,Female,15-19 years,Anxiety disorders,Number,2014,6112.544321,10219.58114,3700.237485
Prevalence,Singapore,Both,15-19 years,Anxiety disorders,Number,2014,10098.72391,16662.51888,6173.046443
Prevalence,Singapore,Male,15-19 years,Anxiety disorders,Percent,2014,0.035238887,0.056663557,0.021537141
Prevalence,Singapore,Female,15-19 years,Anxiety disorders,Percent,2014,0.046102242,0.0775658,0.028287893
Prevalence,Singapore,Both,15-19 years,Anxiety disorders,Percent,2014,0.04109941,0.068256571,0.025153549
Prevalence,Singapore,Male,20-24 years,Anxiety disorders,Number,2014,5430.90762,7657.566785,3509.516609
Prevalence,Singapore,Female,20-24 years,Anxiety disorders,Number,2014,9491.932896,13371.51272,6134.599145
Prevalence,Singapore,Both,20-24 years,Anxiety disorders,Number,2014,14922.84052,21029.0795,9524.255532
Prevalence,Singapore,Male,20-24 years,Anxiety disorders,Percent,2014,0.026227265,0.037265923,0.016977065
Prevalence,Singapore,Female,20-24 years,Anxiety disorders,Percent,2014,0.041552397,0.058352751,0.026831269
Prevalence,Singapore,Both,20-24 years,Anxiety disorders,Percent,2014,0.034264873,0.048322528,0.021982619
Prevalence,Singapore,Male,25-29 years,Anxiety disorders,Number,2014,4873.454734,6798.516884,3025.754363
Prevalence,Singapore,Female,25-29 years,Anxiety disorders,Number,2014,8377.729969,11311.94347,5393.822431
Prevalence,Singapore,Both,25-29 years,Anxiety disorders,Number,2014,13251.1847,18016.34765,8421.31774
Prevalence,Singapore,Male,25-29 years,Anxiety disorders,Percent,2014,0.02138973,0.030006541,0.013300553
Prevalence,Singapore,Female,25-29 years,Anxiety disorders,Percent,2014,0.037788417,0.050585151,0.024531904
Prevalence,Singapore,Both,25-29 years,Anxiety disorders,Percent,2014,0.029476612,0.039453456,0.018797671
Prevalence,Singapore,Male,30-34 years,Anxiety disorders,Number,2014,7113.944407,10048.66201,4747.512886
Prevalence,Singapore,Female,30-34 years,Anxiety disorders,Number,2014,9648.762173,13214.79982,6710.623955
Prevalence,Singapore,Both,30-34 years,Anxiety disorders,Number,2014,16762.70658,23202.1795,11453.53226
Prevalence,Singapore,Male,30-34 years,Anxiety disorders,Percent,2014,0.019255421,0.027194187,0.012819141
Prevalence,Singapore,Female,30-34 years,Anxiety disorders,Percent,2014,0.035552959,0.048674628,0.024862745
Prevalence,Singapore,Both,30-34 years,Anxiety disorders,Percent,2014,0.02615705,0.036281681,0.01792739
Prevalence,Singapore,Male,35-39 years,Anxiety disorders,Number,2014,4073.25626,5516.71859,3021.640547
Prevalence,Singapore,Female,35-39 years,Anxiety disorders,Number,2014,8488.714506,11190.11554,6416.18306
Prevalence,Singapore,Both,35-39 years,Anxiety disorders,Number,2014,12561.97077,16510.71273,9506.331632
Prevalence,Singapore,Male,35-39 years,Anxiety disorders,Percent,2014,0.017871753,0.024143459,0.013294065
Prevalence,Singapore,Female,35-39 years,Anxiety disorders,Percent,2014,0.033591078,0.044247321,0.025340508
Prevalence,Singapore,Both,35-39 years,Anxiety disorders,Percent,2014,0.026136768,0.03439204,0.019669795
Prevalence,Singapore,Male,40-44 years,Anxiety disorders,Number,2014,4523.81964,6102.182551,3457.947897
Prevalence,Singapore,Female,40-44 years,Anxiety disorders,Number,2014,5669.239957,7430.901121,4451.142789
Prevalence,Singapore,Both,40-44 years,Anxiety disorders,Number,2014,10193.0596,13524.7505,7964.243788
Prevalence,Singapore,Male,40-44 years,Anxiety disorders,Percent,2014,0.016872787,0.02267586,0.012943713
Prevalence,Singapore,Female,40-44 years,Anxiety disorders,Percent,2014,0.032008029,0.041806508,0.025112318
Prevalence,Singapore,Both,40-44 years,Anxiety disorders,Percent,2014,0.022893791,0.030297345,0.017882946
Prevalence,Singapore,Male,45-49 years,Anxiety disorders,Number,2014,3501.984914,4759.851167,2686.969174
Prevalence,Singapore,Female,45-49 years,Anxiety disorders,Number,2014,6416.540944,8385.063976,5152.02989
Prevalence,Singapore,Both,45-49 years,Anxiety disorders,Number,2014,9918.525859,13116.97986,7840.350462
Prevalence,Singapore,Male,45-49 years,Anxiety disorders,Percent,2014,0.016426152,0.022317243,0.012604469
Prevalence,Singapore,Female,45-49 years,Anxiety disorders,Percent,2014,0.031563365,0.041184561,0.025362415
Prevalence,Singapore,Both,45-49 years,Anxiety disorders,Percent,2014,0.023814811,0.031472025,0.018864383
Prevalence,Singapore,Male,50-54 years,Anxiety disorders,Number,2014,3438.446693,4700.834595,2392.89655
Prevalence,Singapore,Female,50-54 years,Anxiety disorders,Number,2014,5507.514614,7290.903707,4031.971607
Prevalence,Singapore,Both,50-54 years,Anxiety disorders,Number,2014,8945.961307,11989.43688,6455.121333
Prevalence,Singapore,Male,50-54 years,Anxiety disorders,Percent,2014,0.016218713,0.022150492,0.011281998
Prevalence,Singapore,Female,50-54 years,Anxiety disorders,Percent,2014,0.031640984,0.041901305,0.023140049
Prevalence,Singapore,Both,50-54 years,Anxiety disorders,Percent,2014,0.023172029,0.031087131,0.016692953
Prevalence,Singapore,Male,55-59 years,Anxiety disorders,Number,2014,2837.451898,3954.037047,2032.703974
Prevalence,Singapore,Female,55-59 years,Anxiety disorders,Number,2014,5018.120377,6663.472818,3695.922918
Prevalence,Singapore,Both,55-59 years,Anxiety disorders,Number,2014,7855.572275,10617.50987,5755.100126
Prevalence,Singapore,Male,55-59 years,Anxiety disorders,Percent,2014,0.016130115,0.022457719,0.011557998
Prevalence,Singapore,Female,55-59 years,Anxiety disorders,Percent,2014,0.031569748,0.041882439,0.023265825
Prevalence,Singapore,Both,55-59 years,Anxiety disorders,Percent,2014,0.023459016,0.031678473,0.017177206
Prevalence,Singapore,Male,All ages,Anxiety disorders,Number,2014,53491.82559,64030.85909,40369.17938
Prevalence,Singapore,Female,All ages,Anxiety disorders,Number,2014,84470.3583,99073.25345,67537.1282
Prevalence,Singapore,Both,All ages,Anxiety disorders,Number,2014,137962.1839,163392.2259,107941.4233
Prevalence,Singapore,Male,All ages,Anxiety disorders,Percent,2014,0.020123369,0.024205824,0.015232424
Prevalence,Singapore,Female,All ages,Anxiety disorders,Percent,2014,0.034222573,0.040076457,0.027480424
Prevalence,Singapore,Both,All ages,Anxiety disorders,Percent,2014,0.026911737,0.031812406,0.021129774
Prevalence,Singapore,Male,5-14 years,Anxiety disorders,Number,2014,7743.675432,14446.7488,3741.995145
Prevalence,Singapore,Female,5-14 years,Anxiety disorders,Number,2014,7967.062964,13941.56181,4049.74589
Prevalence,Singapore,Both,5-14 years,Anxiety disorders,Number,2014,15710.7384,28621.58429,7774.673902
Prevalence,Singapore,Male,5-14 years,Anxiety disorders,Percent,2014,0.040328574,0.073045761,0.01944881
Prevalence,Singapore,Female,5-14 years,Anxiety disorders,Percent,2014,0.045278977,0.079744403,0.022910315
Prevalence,Singapore,Both,5-14 years,Anxiety disorders,Percent,2014,0.042694705,0.078272999,0.02099821
Prevalence,Singapore,Male,60+ years,Anxiety disorders,Number,2014,5730.447806,8145.445003,4434.362092
Prevalence,Singapore,Female,60+ years,Anxiety disorders,Number,2014,11504.23516,15320.35963,9151.676973
Prevalence,Singapore,Both,60+ years,Anxiety disorders,Number,2014,17234.68297,23511.32193,13586.41324
Prevalence,Singapore,Male,60+ years,Anxiety disorders,Percent,2014,0.015684632,0.022299451,0.01213823
Prevalence,Singapore,Female,60+ years,Anxiety disorders,Percent,2014,0.029232856,0.038930737,0.023259042
Prevalence,Singapore,Both,60+ years,Anxiety disorders,Percent,2014,0.022710318,0.030982559,0.017904652
Prevalence,Brunei Darussalam,Male,<5 years,Depressive disorders,Number,2014,0.056834506,0.111079818,0.017935956
Prevalence,Brunei Darussalam,Female,<5 years,Depressive disorders,Number,2014,0.062206848,0.121272811,0.018454159
Prevalence,Brunei Darussalam,Both,<5 years,Depressive disorders,Number,2014,0.119041354,0.232256458,0.040973496
Prevalence,Brunei Darussalam,Male,<5 years,Depressive disorders,Percent,2014,4.64E-06,9.31E-06,1.45E-06
Prevalence,Brunei Darussalam,Female,<5 years,Depressive disorders,Percent,2014,5.57E-06,1.06E-05,1.63E-06
Prevalence,Brunei Darussalam,Both,<5 years,Depressive disorders,Percent,2014,5.08E-06,1.01E-05,1.72E-06
Prevalence,Brunei Darussalam,Male,15-19 years,Depressive disorders,Number,2014,410.432443,518.4360083,297.195321
Prevalence,Brunei Darussalam,Female,15-19 years,Depressive disorders,Number,2014,697.8904156,874.0921818,512.9921809
Prevalence,Brunei Darussalam,Both,15-19 years,Depressive disorders,Number,2014,1108.322859,1392.52819,809.5415331
Prevalence,Brunei Darussalam,Male,15-19 years,Depressive disorders,Percent,2014,0.024507637,0.030718806,0.017682809
Prevalence,Brunei Darussalam,Female,15-19 years,Depressive disorders,Percent,2014,0.042021495,0.052226382,0.030739582
Prevalence,Brunei Darussalam,Both,15-19 years,Depressive disorders,Percent,2014,0.033226527,0.041387594,0.024166917
Prevalence,Brunei Darussalam,Male,20-24 years,Depressive disorders,Number,2014,429.2714796,526.9291201,339.57614
Prevalence,Brunei Darussalam,Female,20-24 years,Depressive disorders,Number,2014,636.3588537,774.5374312,498.1999895
Prevalence,Brunei Darussalam,Both,20-24 years,Depressive disorders,Number,2014,1065.630333,1300.358056,836.2939674
Prevalence,Brunei Darussalam,Male,20-24 years,Depressive disorders,Percent,2014,0.022600301,0.027541825,0.017793993
Prevalence,Brunei Darussalam,Female,20-24 years,Depressive disorders,Percent,2014,0.03549312,0.043041104,0.028067411
Prevalence,Brunei Darussalam,Both,20-24 years,Depressive disorders,Percent,2014,0.028860276,0.034966031,0.022841188
Prevalence,Brunei Darussalam,Male,25-29 years,Depressive disorders,Number,2014,475.6540328,584.0706372,373.4298299
Prevalence,Brunei Darussalam,Female,25-29 years,Depressive disorders,Number,2014,636.4082014,767.9072854,509.4080973
Prevalence,Brunei Darussalam,Both,25-29 years,Depressive disorders,Number,2014,1112.062234,1346.510992,881.4588747
Prevalence,Brunei Darussalam,Male,25-29 years,Depressive disorders,Percent,2014,0.021874943,0.026931959,0.017063841
Prevalence,Brunei Darussalam,Female,25-29 years,Depressive disorders,Percent,2014,0.033441979,0.040160099,0.026816296
Prevalence,Brunei Darussalam,Both,25-29 years,Depressive disorders,Percent,2014,0.027273228,0.032875688,0.021587916
Prevalence,Brunei Darussalam,Male,30-34 years,Depressive disorders,Number,2014,432.429185,533.4128109,345.615922
Prevalence,Brunei Darussalam,Female,30-34 years,Depressive disorders,Number,2014,569.8991165,702.4048972,457.4605738
Prevalence,Brunei Darussalam,Both,30-34 years,Depressive disorders,Number,2014,1002.328302,1227.200556,801.203381
Prevalence,Brunei Darussalam,Male,30-34 years,Depressive disorders,Percent,2014,0.021055836,0.026001974,0.016837639
Prevalence,Brunei Darussalam,Female,30-34 years,Depressive disorders,Percent,2014,0.031581067,0.039022195,0.02546447
Prevalence,Brunei Darussalam,Both,30-34 years,Depressive disorders,Percent,2014,0.025978481,0.031873044,0.020765618
Prevalence,Brunei Darussalam,Male,35-39 years,Depressive disorders,Number,2014,372.8381349,449.0353856,299.5587768
Prevalence,Brunei Darussalam,Female,35-39 years,Depressive disorders,Number,2014,508.5208245,610.7577113,411.0150021
Prevalence,Brunei Darussalam,Both,35-39 years,Depressive disorders,Number,2014,881.3589594,1059.105599,712.8720259
Prevalence,Brunei Darussalam,Male,35-39 years,Depressive disorders,Percent,2014,0.020179184,0.024270548,0.016263593
Prevalence,Brunei Darussalam,Female,35-39 years,Depressive disorders,Percent,2014,0.02992707,0.035981917,0.024218025
Prevalence,Brunei Darussalam,Both,35-39 years,Depressive disorders,Percent,2014,0.02484913,0.029830162,0.020161958
Prevalence,Brunei Darussalam,Male,40-44 years,Depressive disorders,Number,2014,322.5537167,400.1047156,255.83779
Prevalence,Brunei Darussalam,Female,40-44 years,Depressive disorders,Number,2014,456.4498942,569.8323471,360.8626906
Prevalence,Brunei Darussalam,Both,40-44 years,Depressive disorders,Number,2014,779.0036109,966.9398989,615.6679852
Prevalence,Brunei Darussalam,Male,40-44 years,Depressive disorders,Percent,2014,0.019439071,0.024095625,0.015373604
Prevalence,Brunei Darussalam,Female,40-44 years,Depressive disorders,Percent,2014,0.028543423,0.035644589,0.022560218
Prevalence,Brunei Darussalam,Both,40-44 years,Depressive disorders,Percent,2014,0.023907213,0.029673012,0.018832417
Prevalence,Brunei Darussalam,Male,45-49 years,Depressive disorders,Number,2014,264.1268208,330.8844411,212.8305336
Prevalence,Brunei Darussalam,Female,45-49 years,Depressive disorders,Number,2014,367.1057434,457.0613918,297.7854254
Prevalence,Brunei Darussalam,Both,45-49 years,Depressive disorders,Number,2014,631.2325641,787.7679421,514.6032516
Prevalence,Brunei Darussalam,Male,45-49 years,Depressive disorders,Percent,2014,0.019003774,0.023841408,0.015304203
Prevalence,Brunei Darussalam,Female,45-49 years,Depressive disorders,Percent,2014,0.028082113,0.034909621,0.022768042
Prevalence,Brunei Darussalam,Both,45-49 years,Depressive disorders,Percent,2014,0.023403861,0.029200763,0.01908
Prevalence,Brunei Darussalam,Male,50-54 years,Depressive disorders,Number,2014,212.3417845,265.3339906,170.3713436
Prevalence,Brunei Darussalam,Female,50-54 years,Depressive disorders,Number,2014,291.5533005,363.8537368,237.8160965
Prevalence,Brunei Darussalam,Both,50-54 years,Depressive disorders,Number,2014,503.895085,629.5553635,410.7610224
Prevalence,Brunei Darussalam,Male,50-54 years,Depressive disorders,Percent,2014,0.018649965,0.023321924,0.014975207
Prevalence,Brunei Darussalam,Female,50-54 years,Depressive disorders,Percent,2014,0.027990474,0.034932754,0.022843612
Prevalence,Brunei Darussalam,Both,50-54 years,Depressive disorders,Percent,2014,0.023112539,0.028835543,0.018856514
Prevalence,Brunei Darussalam,Male,55-59 years,Depressive disorders,Number,2014,153.406447,189.0309696,125.5926614
Prevalence,Brunei Darussalam,Female,55-59 years,Depressive disorders,Number,2014,230.0273651,282.2674571,190.8491523
Prevalence,Brunei Darussalam,Both,55-59 years,Depressive disorders,Number,2014,383.4338121,471.7750063,319.7051519
Prevalence,Brunei Darussalam,Male,55-59 years,Depressive disorders,Percent,2014,0.018434175,0.022720492,0.01510208
Prevalence,Brunei Darussalam,Female,55-59 years,Depressive disorders,Percent,2014,0.02834117,0.034764425,0.023517775
Prevalence,Brunei Darussalam,Both,55-59 years,Depressive disorders,Percent,2014,0.023325752,0.028699999,0.019444411
Prevalence,Brunei Darussalam,Male,All ages,Depressive disorders,Number,2014,3669.373152,4422.430905,3050.455263
Prevalence,Brunei Darussalam,Female,All ages,Depressive disorders,Number,2014,5559.049167,6592.356344,4635.166957
Prevalence,Brunei Darussalam,Both,All ages,Depressive disorders,Number,2014,9228.422319,11039.54727,7694.49742
Prevalence,Brunei Darussalam,Male,All ages,Depressive disorders,Percent,2014,0.018236864,0.021751377,0.015203525
Prevalence,Brunei Darussalam,Female,All ages,Depressive disorders,Percent,2014,0.029271876,0.034675695,0.024410404
Prevalence,Brunei Darussalam,Both,All ages,Depressive disorders,Percent,2014,0.023595,0.028164676,0.019770195
Prevalence,Brunei Darussalam,Male,5-14 years,Depressive disorders,Number,2014,350.0269211,479.4753223,258.5750606
Prevalence,Brunei Darussalam,Female,5-14 years,Depressive disorders,Number,2014,743.7401228,998.0211349,563.4411917
Prevalence,Brunei Darussalam,Both,5-14 years,Depressive disorders,Number,2014,1093.767044,1490.705775,821.5978757
Prevalence,Brunei Darussalam,Male,5-14 years,Depressive disorders,Percent,2014,0.012157144,0.016578944,0.008785334
Prevalence,Brunei Darussalam,Female,5-14 years,Depressive disorders,Percent,2014,0.026403592,0.035294553,0.019968234
Prevalence,Brunei Darussalam,Both,5-14 years,Depressive disorders,Percent,2014,0.019201294,0.026112872,0.01461294
Prevalence,Brunei Darussalam,Male,60+ years,Depressive disorders,Number,2014,246.2353519,304.0312912,204.7127499
Prevalence,Brunei Darussalam,Female,60+ years,Depressive disorders,Number,2014,421.033123,511.2221603,345.533011
Prevalence,Brunei Darussalam,Both,60+ years,Depressive disorders,Number,2014,667.2684749,815.5983235,551.490402
Prevalence,Brunei Darussalam,Male,60+ years,Depressive disorders,Percent,2014,0.018350935,0.022659396,0.015253247
Prevalence,Brunei Darussalam,Female,60+ years,Depressive disorders,Percent,2014,0.029315436,0.03559978,0.024056667
Prevalence,Brunei Darussalam,Both,60+ years,Depressive disorders,Percent,2014,0.024019483,0.029360721,0.019850522
Prevalence,Brunei Darussalam,Male,<5 years,Anxiety disorders,Number,2014,35.70043923,84.99652827,12.13857008
Prevalence,Brunei Darussalam,Female,<5 years,Anxiety disorders,Number,2014,37.99816992,87.56285908,14.18567782
Prevalence,Brunei Darussalam,Both,<5 years,Anxiety disorders,Number,2014,73.69860915,173.2222534,26.44115802
Prevalence,Brunei Darussalam,Male,<5 years,Anxiety disorders,Percent,2014,0.002919672,0.007077228,0.000995127
Prevalence,Brunei Darussalam,Female,<5 years,Anxiety disorders,Percent,2014,0.0034086,0.008060204,0.001283094
Prevalence,Brunei Darussalam,Both,<5 years,Anxiety disorders,Percent,2014,0.00315258,0.007609869,0.001141035
Prevalence,Brunei Darussalam,Male,15-19 years,Anxiety disorders,Number,2014,717.5415498,1153.791928,428.3909715
Prevalence,Brunei Darussalam,Female,15-19 years,Anxiety disorders,Number,2014,913.625103,1528.862434,553.2409119
Prevalence,Brunei Darussalam,Both,15-19 years,Anxiety disorders,Number,2014,1631.166653,2681.902113,981.6318834
Prevalence,Brunei Darussalam,Male,15-19 years,Anxiety disorders,Percent,2014,0.042853626,0.068775036,0.026451406
Prevalence,Brunei Darussalam,Female,15-19 years,Anxiety disorders,Percent,2014,0.055021458,0.092815819,0.033510229
Prevalence,Brunei Darussalam,Both,15-19 years,Anxiety disorders,Percent,2014,0.048911323,0.081021889,0.030065506
Prevalence,Brunei Darussalam,Male,20-24 years,Anxiety disorders,Number,2014,613.8955838,865.367144,395.7628474
Prevalence,Brunei Darussalam,Female,20-24 years,Anxiety disorders,Number,2014,899.4151982,1262.31685,580.4792363
Prevalence,Brunei Darussalam,Both,20-24 years,Anxiety disorders,Number,2014,1513.310782,2127.631396,964.6324528
Prevalence,Brunei Darussalam,Male,20-24 years,Anxiety disorders,Percent,2014,0.032332987,0.045950251,0.020801769
Prevalence,Brunei Darussalam,Female,20-24 years,Anxiety disorders,Percent,2014,0.05017206,0.070390136,0.032291731
Prevalence,Brunei Darussalam,Both,20-24 years,Anxiety disorders,Percent,2014,0.040995748,0.057738534,0.026248834
Prevalence,Brunei Darussalam,Male,25-29 years,Anxiety disorders,Number,2014,575.9542703,803.037637,358.0071737
Prevalence,Brunei Darussalam,Female,25-29 years,Anxiety disorders,Number,2014,869.5152131,1173.410227,561.7422068
Prevalence,Brunei Darussalam,Both,25-29 years,Anxiety disorders,Number,2014,1445.469483,1966.402881,919.9548023
